city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Bellaire,Bellaire,OH,Ohio,39013,Belmont,40.0176,-80.7469
Kiel,Kiel,WI,Wisconsin,55071,Manitowoc,43.9167,-88.0266
Florence,Florence,CO,Colorado,8043,Fremont,38.3836,-105.1114
Dawsonville,Dawsonville,GA,Georgia,13085,Dawson,34.4362,-84.125
Zelienople,Zelienople,PA,Pennsylvania,42019,Butler,40.7886,-80.1428
Tangerine,Tangerine,FL,Florida,12095,Orange,28.759,-81.6341
Woodbridge,Woodbridge,CA,California,6077,San Joaquin,38.1692,-121.3113
Emerald Isle,Emerald Isle,NC,North Carolina,37031,Carteret,34.6648,-77.0292
Hephzibah,Hephzibah,GA,Georgia,13245,Richmond,33.2906,-82.0994
Clifton,Clifton,AZ,Arizona,4011,Greenlee,33.0249,-109.2883
Prestonsburg,Prestonsburg,KY,Kentucky,21071,Floyd,37.6819,-82.7661
Mojave,Mojave,CA,California,6029,Kern,35.0139,-118.1896
Rosemont,Rosemont,IL,Illinois,17031,Cook,41.989,-87.8718
Manning,Manning,SC,South Carolina,45027,Clarendon,33.6933,-80.2167
Woodlawn,Woodlawn,OH,Ohio,39061,Hamilton,39.2556,-84.471
Rosemont,Rosemont,PA,Pennsylvania,42091,Montgomery,40.0306,-75.327
Frackville,Frackville,PA,Pennsylvania,42107,Schuylkill,40.7833,-76.2329
Pulaski,Pulaski,WI,Wisconsin,55009,Brown,44.6684,-88.2351
French Camp,French Camp,CA,California,6077,San Joaquin,37.8803,-121.2803
